10.1145/1592568.1592585,23,17,1,22,0,1,40
10.1145/1592568.1592585,254,0,0,254,0,0,254
10.1145/997078.997089,11,17,6,5,0,6,28
10.1145/997078.997089,372,0,82,290,0,82,372
10.1145/572020.572044,2,4,1,1,1,0,6
10.1145/572020.572044,103,0,31,72,20,11,103
10.1145/2207676.2208573,15,11,8,7,4,4,26
10.1145/2207676.2208573,99,0,34,65,16,18,99
10.1145/1357054.1357292,9,7,7,2,6,1,16
10.1145/1357054.1357292,88,0,25,63,19,6,88
10.1145/2207676.2208572,11,10,4,7,4,0,21
10.1145/2207676.2208572,83,0,32,51,23,9,83
10.1145/1463160.1463214,5,17,4,1,4,0,22
10.1145/1463160.1463214,79,0,18,61,13,5,79